,u_id,revenue,buy_ts
162,14939185131740777207,1.22,2017-06-02 16:40:00
163,3520858494550896193,0.73,2017-06-02 16:44:00
164,2791428098752514543,0.61,2017-06-02 16:45:00
165,12245223189911079639,3.67,2017-06-02 16:47:00
166,1069041816772830090,0.3,2017-06-02 16:51:00
167,6223165564350916964,0.61,2017-06-02 16:57:00
168,4971234915012259922,0.24,2017-06-02 17:03:00
169,13740804329910302209,0.37,2017-06-02 17:05:00
170,5046863338319566265,1.83,2017-06-02 17:10:00
171,15115462973614029728,2.69,2017-06-02 17:17:00
172,17932660987181535199,2.2,2017-06-02 17:24:00
173,10042262218052845742,0.3,2017-06-02 17:39:00
174,8994715356230590192,18.58,2017-06-02 17:42:00
175,971463777484207957,2.32,2017-06-02 17:44:00
176,3738863118490040629,2.69,2017-06-02 17:58:00
177,9486676430770533957,3.12,2017-06-02 18:05:00
178,9476406742452458514,0.61,2017-06-02 18:23:00
179,6555702697504179127,0.37,2017-06-02 18:29:00
180,10338544117796622708,2.44,2017-06-02 18:31:00
181,9893764347066784675,3.67,2017-06-02 18:41:00
182,9490885543814561414,1.95,2017-06-02 18:44:00
183,17014908376501071382,1.1,2017-06-02 18:49:00
184,10338544117796622708,2.44,2017-06-02 19:05:00
185,8684480204553369243,3.05,2017-06-02 19:15:00
186,12169678892452829103,0.61,2017-06-02 19:17:00
187,11601225246889834697,0.46,2017-06-02 19:18:00
188,14407535435182907694,1.53,2017-06-02 19:24:00
189,13506772790755333126,2.44,2017-06-02 19:36:00
190,16226086383309648934,2.32,2017-06-02 19:38:00
191,682688807801880721,0.73,2017-06-02 20:18:00
192,2359540376198725496,0.37,2017-06-02 20:36:00
193,1150701989604715843,3.3,2017-06-02 20:36:00
194,17976581132032550372,8.55,2017-06-02 20:45:00
195,9476406742452458514,0.15,2017-06-02 21:21:00
196,15224800612434078455,4.89,2017-06-02 21:34:00
197,327008925536897949,2.75,2017-06-02 21:50:00
198,11273961602733491261,0.98,2017-06-02 22:02:00
199,1384176974814072272,1.95,2017-06-02 22:18:00
200,13617122573229712798,2.2,2017-06-02 22:28:00
201,1069041816772830090,0.3,2017-06-02 22:33:00
202,11312500732989601801,2.32,2017-06-02 22:35:00
203,15558957263795183169,3.05,2017-06-02 22:35:00
204,15145732543179276624,8.55,2017-06-02 22:46:00
205,18252942666846284035,1.1,2017-06-02 23:00:00
206,17126245363095199309,0.18,2017-06-02 23:57:00
207,2758455486826339820,1.1,2017-06-03 00:24:00
208,8045822472757255061,0.3,2017-06-03 04:24:00
209,4083545142041234081,0.3,2017-06-03 05:58:00
210,10755604378030763136,2.44,2017-06-03 09:05:00
211,138933889262593703,0.15,2017-06-03 09:48:00
212,16117600481757651635,0.98,2017-06-03 10:06:00
213,1575281904278712,1.22,2017-06-03 10:13:00
214,10248725724638225794,4.89,2017-06-03 10:43:00
215,9400729021248222424,3.67,2017-06-03 10:44:00
216,10615959404443970151,0.3,2017-06-03 11:01:00
217,808557978755898346,4.28,2017-06-03 11:01:00
218,31782048561502182,6.11,2017-06-03 11:14:00
219,8813006667960260254,7.03,2017-06-03 11:20:00
220,15248519148082988599,0.46,2017-06-03 11:23:00
221,11920452646463905188,3.67,2017-06-03 11:27:00
222,2200675202057710261,4.89,2017-06-03 11:48:00
223,2232469251401337162,0.3,2017-06-03 11:50:00
224,9667577658644269267,6.23,2017-06-03 11:50:00
225,3526500097137358767,1.53,2017-06-03 12:34:00
226,2156471000111178404,0.3,2017-06-03 12:43:00
227,8741433263041703060,11.0,2017-06-03 12:44:00
228,11026980372977460081,0.18,2017-06-03 12:52:00
229,3493056878207813726,0.98,2017-06-03 12:54:00
230,10615959404443970151,0.15,2017-06-03 13:09:00
231,6999002025264542497,2.08,2017-06-03 13:25:00
232,5797417294488467521,0.61,2017-06-03 13:26:00
233,7508525456600641710,0.44,2017-06-03 13:27:00
234,15289609541136108713,2.2,2017-06-03 13:35:00
235,1671777405352425261,0.18,2017-06-03 13:56:00
236,16373883655445681076,1.22,2017-06-03 14:06:00
237,11920452646463905188,3.3,2017-06-03 14:18:00
238,1210481103526146221,1.22,2017-06-03 14:26:00
239,3258666320347870687,7.33,2017-06-03 15:00:00
240,828243530010401159,2.08,2017-06-03 15:13:00
241,5797417294488467521,1.22,2017-06-03 15:25:00
242,7181110136258500128,0.61,2017-06-03 15:30:00
243,11026980372977460081,2.75,2017-06-03 16:05:00
244,8207211716442596815,4.15,2017-06-03 16:10:00
245,11980813575469577924,1.53,2017-06-03 16:18:00
246,5797417294488467521,0.61,2017-06-03 16:21:00
247,747232740515376471,9.78,2017-06-03 16:22:00
248,16908195923681658962,1.22,2017-06-03 16:25:00
249,5193535628208365394,1.53,2017-06-03 16:34:00
250,106620219523201745,3.67,2017-06-03 16:56:00
251,345779382857926589,3.67,2017-06-03 17:05:00
252,1575281904278712,1.83,2017-06-03 17:39:00
253,2177797038188116114,7.94,2017-06-03 17:46:00
254,12645915433702022284,0.15,2017-06-03 17:52:00
255,1386685375059009148,0.61,2017-06-03 17:59:00
256,14486160493302039000,0.3,2017-06-03 18:29:00
257,8954198682984911810,0.3,2017-06-03 18:53:00
258,14006150330342890384,3.05,2017-06-03 19:16:00
259,3738863118490040629,0.49,2017-06-03 20:03:00
260,4240989758764106175,1.83,2017-06-03 20:46:00
261,7701857559527616742,1.83,2017-06-03 20:57:00
262,4406113272403950964,0.15,2017-06-03 21:00:00
263,2724166777585803991,0.12,2017-06-03 21:09:00
264,10199368243688186982,4.44,2017-06-03 21:17:00
265,17351545812044669141,0.46,2017-06-03 21:45:00
266,13939592583492255989,0.76,2017-06-03 21:48:00
267,17405175662798699251,4.28,2017-06-03 21:50:00
268,11812491352179850550,6.11,2017-06-03 21:52:00
269,5866727698999099612,3.3,2017-06-03 22:05:00
270,3994676605128339554,4.96,2017-06-03 22:11:00
271,4883104446794001436,0.55,2017-06-03 22:17:00
272,1802745935573208189,0.61,2017-06-03 22:54:00
273,12215053687292605920,8.55,2017-06-03 23:45:00
274,4681428328150060516,3.67,2017-06-04 00:05:00
275,15716824042997822851,3.3,2017-06-04 00:34:00
276,10292150352462419804,0.61,2017-06-04 01:46:00
277,14294061919231263804,3.05,2017-06-04 05:31:00
278,10406186192028721688,0.3,2017-06-04 08:35:00
279,9227412908740601561,4.89,2017-06-04 09:50:00
280,2055134068146572132,0.3,2017-06-04 10:22:00
281,7320692119589446624,2.69,2017-06-04 10:53:00
282,15534042754764577993,10.89,2017-06-04 11:07:00
283,2061289301148331883,3.3,2017-06-04 11:35:00
284,10116135452198588850,14.67,2017-06-04 11:42:00
285,323421911713326004,0.3,2017-06-04 12:00:00
286,323421911713326004,0.3,2017-06-04 12:11:00
287,10116135452198588850,7.33,2017-06-04 12:22:00
288,3558774155495380966,4.15,2017-06-04 12:24:00
289,16583163029994351790,9.17,2017-06-04 12:28:00
290,14784846369406963928,0.92,2017-06-04 12:28:00
291,3335728246478916564,8.07,2017-06-04 12:52:00
292,9915358625853116553,0.61,2017-06-04 12:59:00
293,3644482766749211722,17.11,2017-06-04 13:06:00
294,6393461840270190104,1.65,2017-06-04 13:06:00
295,4338675510856329773,5.13,2017-06-04 13:22:00
296,4822198717484888759,0.61,2017-06-04 13:23:00
297,5713714064956697095,0.3,2017-06-04 13:26:00
298,9365123481903099015,0.49,2017-06-04 13:28:00
299,6232318005785759878,0.3,2017-06-04 13:40:00
300,13965344144889087501,0.46,2017-06-04 13:54:00
301,2339290020396488103,19.8,2017-06-04 13:58:00
302,15696267334062150520,1.95,2017-06-04 14:02:00
303,12391080626387893939,2.44,2017-06-04 14:15:00
304,8388324176132123291,0.15,2017-06-04 14:17:00
305,15537687811619315596,0.37,2017-06-04 15:00:00
306,14065682297751583237,0.46,2017-06-04 15:30:00
307,18025558052448985702,0.55,2017-06-04 15:43:00
308,13831412909528008982,0.15,2017-06-04 15:47:00
309,11942638596221116814,2.81,2017-06-04 16:05:00
310,6286337056912737821,0.3,2017-06-04 16:09:00
311,5131320313155933676,0.55,2017-06-04 16:10:00
312,15776357003812756217,2.14,2017-06-04 16:33:00
313,3996670790293923385,2.78,2017-06-04 16:39:00
314,9914905309366262136,0.3,2017-06-04 16:58:00
315,16213696876456608159,7.33,2017-06-04 17:04:00
316,8419824563652718593,0.15,2017-06-04 17:16:00
317,3996670790293923385,2.5,2017-06-04 17:56:00
318,4350391515465802088,2.44,2017-06-04 17:59:00
319,6286337056912737821,0.15,2017-06-04 19:26:00
320,9227412908740601561,4.89,2017-06-04 19:30:00
321,12231908034358510243,0.55,2017-06-04 19:50:00
322,6577192376669608644,0.15,2017-06-04 20:03:00
323,2951493435924312062,4.89,2017-06-04 20:12:00
324,7456125710321425733,6.11,2017-06-04 20:13:00
325,4784264271860059377,2.38,2017-06-04 20:26:00
326,6014942334457946615,1.1,2017-06-04 20:43:00
327,18390690794299744940,0.3,2017-06-04 20:54:00
328,3621788520712541685,3.3,2017-06-04 21:01:00
329,3514370509744861765,1.65,2017-06-04 21:33:00
330,17398492294358629398,3.67,2017-06-04 21:37:00
331,6232318005785759878,0.46,2017-06-04 22:08:00
332,3206745693272439487,0.98,2017-06-04 22:10:00
333,12391080626387893939,1.22,2017-06-04 22:29:00
334,3411616934168509867,1.22,2017-06-04 22:29:00
335,7865724275724250944,1.67,2017-06-04 22:36:00
336,1610711893495062651,2.31,2017-06-04 22:56:00
337,9952915591311758462,4.95,2017-06-04 22:58:00
338,594003046069741418,0.3,2017-06-04 23:05:00
339,18228780846507422717,1.22,2017-06-04 23:49:00
340,10008294309715110463,4.89,2017-06-05 00:05:00
341,2160901815300590700,0.18,2017-06-05 00:06:00
342,17351545812044669141,0.46,2017-06-05 00:34:00
343,10953190014433333132,13.75,2017-06-05 00:45:00
344,5821679777710799894,8.55,2017-06-05 01:03:00
345,1324142665669095055,0.46,2017-06-05 01:06:00
346,7358976485213746170,0.3,2017-06-05 01:35:00
347,10739817556259434194,3.12,2017-06-05 02:52:00
348,5026077366936632437,5.5,2017-06-05 07:11:00
349,15698962704601608388,0.55,2017-06-05 08:15:00
350,11834947597050981270,5.5,2017-06-05 08:15:00
351,16858512426873497792,0.15,2017-06-05 08:20:00
352,14466865575014439785,0.46,2017-06-05 08:43:00
353,15786837700247079160,0.15,2017-06-05 08:52:00
354,15639320911091243224,0.61,2017-06-05 09:00:00
355,11670707190069076025,4.28,2017-06-05 09:35:00
356,11859028149883916307,2.44,2017-06-05 09:46:00
357,5564248910950633650,1.22,2017-06-05 09:54:00
358,13939592583492255989,2.2,2017-06-05 09:59:00
359,4665226764026551588,0.46,2017-06-05 10:06:00
360,17819020594894090916,7.33,2017-06-05 10:11:00
361,3518194335189807090,3.42,2017-06-05 10:33:00
362,12420260557489048470,3.3,2017-06-05 10:33:00
363,874945341986980613,0.3,2017-06-05 10:36:00
364,10977838441249156673,3.05,2017-06-05 10:41:00
365,17198362251999355054,3.05,2017-06-05 10:48:00
366,3501042630023977189,4.28,2017-06-05 10:57:00
367,15267254144999658193,14.67,2017-06-05 11:00:00
368,14789607617200052203,0.43,2017-06-05 11:05:00
369,10417811892191280430,4.96,2017-06-05 11:11:00
370,5252369710024944808,2.08,2017-06-05 11:12:00
371,8950280474959560786,0.61,2017-06-05 11:15:00
372,4910867589702830959,0.61,2017-06-05 11:27:00
373,7004442070485735167,2.32,2017-06-05 11:37:00
374,17312793232890314843,0.46,2017-06-05 11:38:00
375,13888745432979765063,6.35,2017-06-05 11:39:00
376,2130095608435511911,0.55,2017-06-05 11:44:00
377,17338093657028762596,0.3,2017-06-05 11:55:00
378,1243031607085908316,3.67,2017-06-05 11:56:00
379,14878384453262382488,0.61,2017-06-05 11:58:00
380,3617633216196932735,7.33,2017-06-05 11:58:00
381,3501042630023977189,4.28,2017-06-05 12:12:00
382,3163049722392248239,11.0,2017-06-05 12:21:00
383,5572451178740589261,18.33,2017-06-05 12:22:00
384,13709818325980860796,2.75,2017-06-05 12:23:00
385,9367552472198230877,11.0,2017-06-05 12:39:00
386,6663002918925750032,1.95,2017-06-05 12:46:00
387,2198189691943758197,3.67,2017-06-05 12:47:00
388,13659232846413910742,2.2,2017-06-05 12:47:00
389,684323361726182179,2.2,2017-06-05 12:49:00
390,4910867589702830959,0.3,2017-06-05 12:51:00
391,7230722353930337942,1.53,2017-06-05 12:52:00
392,13065464035232821239,0.92,2017-06-05 12:55:00
393,9963588569689676170,0.3,2017-06-05 13:01:00
394,1186757012633220834,2.75,2017-06-05 13:02:00
395,1668850008065892343,2.69,2017-06-05 13:03:00
396,4834062110618134876,0.46,2017-06-05 13:09:00
397,1906172326262950477,2.44,2017-06-05 13:24:00
398,14971518561982259981,0.55,2017-06-05 13:28:00
399,2939005198572199402,2.44,2017-06-05 13:34:00
400,3550281672258953761,0.73,2017-06-05 13:41:00
401,17073879917176954652,0.61,2017-06-05 13:43:00
402,7899114225888885507,2.2,2017-06-05 13:46:00
403,10735090094188153401,0.61,2017-06-05 13:48:00
404,459817253589014329,1.65,2017-06-05 13:50:00
405,11980886332529754681,4.89,2017-06-05 13:52:00
406,7791644673505929168,0.3,2017-06-05 13:53:00
407,874945341986980613,0.15,2017-06-05 13:54:00
408,2335141714027011898,0.3,2017-06-05 14:05:00
409,11450513456728609355,0.46,2017-06-05 14:07:00
410,12402584288378353842,0.92,2017-06-05 14:17:00
411,1449400279635587273,0.61,2017-06-05 14:19:00
412,15099822145978711118,3.05,2017-06-05 14:24:00
413,12464626743129688638,7.33,2017-06-05 14:30:00
414,3550281672258953761,0.18,2017-06-05 14:33:00
415,13872673459194525459,0.3,2017-06-05 14:47:00
416,360198093363866063,14.05,2017-06-05 14:57:00
417,11814439273040611080,0.3,2017-06-05 14:58:00
418,17489521991790979860,1.16,2017-06-05 14:59:00
419,3812249877455991316,3.3,2017-06-05 15:01:00
420,2346387420966949874,0.61,2017-06-05 15:09:00
421,2560426398205874844,3.3,2017-06-05 15:19:00
422,17931433018312874158,3.05,2017-06-05 15:28:00
423,7358976485213746170,0.3,2017-06-05 15:40:00
424,8950280474959560786,1.22,2017-06-05 15:55:00
425,13975932056717210136,12.71,2017-06-05 16:08:00
426,3265237292733023642,1.53,2017-06-05 16:12:00
427,14631607128407644891,0.3,2017-06-05 16:15:00
428,3225365142226185948,3.05,2017-06-05 16:30:00
429,1924612782327296192,3.67,2017-06-05 16:36:00
430,12244080646795385422,0.15,2017-06-05 16:36:00
431,3263486045884611639,3.18,2017-06-05 16:42:00
432,16186836340504242963,2.32,2017-06-05 16:43:00
433,7111003829622587490,0.61,2017-06-05 16:59:00
434,12018537274190106339,3.05,2017-06-05 17:00:00
435,3963367130094376110,5.5,2017-06-05 17:06:00
436,8000103993834334988,1.16,2017-06-05 17:07:00
437,6054286770248028985,3.67,2017-06-05 17:13:00
438,13888745432979765063,2.44,2017-06-05 17:27:00
439,6912677520372149520,0.3,2017-06-05 17:47:00
440,4248980791902928895,0.15,2017-06-05 17:48:00
441,11814439273040611080,0.3,2017-06-05 17:49:00
442,4646106758538972113,0.55,2017-06-05 17:59:00
443,15764442223841342787,2.32,2017-06-05 18:02:00
444,18338868855818094056,0.46,2017-06-05 18:06:00
445,7791644673505929168,0.3,2017-06-05 18:13:00
446,5953923769844304355,1.83,2017-06-05 18:18:00
447,15273714129857295034,15.89,2017-06-05 18:25:00
448,1288550930381156501,2.44,2017-06-05 18:32:00
449,1389884115428195884,8.55,2017-06-05 18:43:00
450,15695337711565668483,2.32,2017-06-05 18:45:00
451,11053105406911927638,0.37,2017-06-05 18:45:00
452,10735090094188153401,0.61,2017-06-05 18:48:00
453,7903283753103461937,1.83,2017-06-05 18:59:00
454,5288404146709286666,2.44,2017-06-05 19:03:00
455,4998623003724016525,8.55,2017-06-05 19:10:00
456,16580280203558228677,5.5,2017-06-05 19:16:00
457,148401564840028266,9.9,2017-06-05 19:20:00
458,12948690667911654616,1.16,2017-06-05 19:29:00
459,360198093363866063,9.17,2017-06-05 19:30:00
460,1326869375799909036,1.22,2017-06-05 19:34:00
461,200441795525404407,10.39,2017-06-05 19:56:00
462,6223165564350916964,0.15,2017-06-05 20:18:00
463,8851547593144937243,5.8,2017-06-05 20:24:00
464,4998623003724016525,8.55,2017-06-05 20:36:00
465,15951969458021367716,0.92,2017-06-05 20:38:00
466,11926058254858035238,6.11,2017-06-05 20:45:00
467,15791713721162189736,1.1,2017-06-05 21:08:00
468,4324331849822953070,0.3,2017-06-05 21:09:00
469,10225555564121445826,2.2,2017-06-05 21:16:00
470,2931519028436777681,3.12,2017-06-05 21:16:00
471,10544568922590644319,3.05,2017-06-05 21:19:00
472,5139193344416306296,0.61,2017-06-05 21:33:00
473,13347953361295103381,0.61,2017-06-05 22:08:00
474,10797642714612000992,0.61,2017-06-05 22:11:00
475,17351545812044669141,0.61,2017-06-05 22:12:00
476,14426873242066763236,0.55,2017-06-05 22:15:00
477,8349760648016518320,0.18,2017-06-05 22:19:00
478,11624240802985896174,0.92,2017-06-05 22:20:00
479,13347953361295103381,0.61,2017-06-05 22:22:00
480,16927415250265823217,1.07,2017-06-05 22:23:00
481,15512115044571665949,0.3,2017-06-05 22:24:00
482,7092399543009212056,0.3,2017-06-05 22:24:00
483,4879970498808176561,0.18,2017-06-05 22:24:00
484,3245368390751750644,3.33,2017-06-05 22:25:00
485,4133634741338690946,0.3,2017-06-05 22:31:00
486,11900473665422776974,2.32,2017-06-05 22:34:00
487,4657707368657479872,0.3,2017-06-05 22:37:00
488,11323221407727548184,2.32,2017-06-05 22:51:00
489,3556020396267172380,0.3,2017-06-05 22:53:00
490,9367757635095589952,1.16,2017-06-05 22:55:00
491,17661472154512821688,1.83,2017-06-05 23:01:00
492,3092042544616660972,3.36,2017-06-05 23:04:00
493,11921195817514152364,0.61,2017-06-05 23:05:00
494,1580750561247791012,0.37,2017-06-05 23:16:00
495,15660576678180554628,2.32,2017-06-05 23:18:00
496,14150411061758308531,0.3,2017-06-05 23:22:00
497,3138077888954665232,2.32,2017-06-05 23:23:00
498,2966971318236542666,0.73,2017-06-05 23:24:00
499,11141242194316628715,3.48,2017-06-05 23:30:00
500,12244080646795385422,0.15,2017-06-05 23:42:00
501,14426873242066763236,0.37,2017-06-06 00:01:00
502,1969049076023585532,2.69,2017-06-06 00:09:00
503,6088114191995640973,0.3,2017-06-06 00:22:00
504,17001806706314070623,0.61,2017-06-06 00:32:00
505,17001806706314070623,0.15,2017-06-06 00:39:00
506,7541260740401723650,0.3,2017-06-06 01:06:00
507,2957678044564230933,0.46,2017-06-06 01:36:00
508,4018832996076232033,0.37,2017-06-06 01:38:00
509,4018832996076232033,0.73,2017-06-06 01:48:00
510,4018832996076232033,0.73,2017-06-06 01:57:00
511,7671324831150536984,3.91,2017-06-06 07:12:00
512,2187687441286291730,0.18,2017-06-06 07:29:00
513,7310267713586809885,2.69,2017-06-06 08:10:00
514,14589583431551362317,0.3,2017-06-06 08:14:00
515,12960541838908819009,2.32,2017-06-06 08:25:00
516,7547351921796622531,0.55,2017-06-06 08:48:00
